【1】  ★団体名（ 法人格がある場合は、省略せず正式名称を記載してください）,【2】  団体名のふりがな（法人格を除く法人名のふりがなをご記入ください）,【3】  連絡担当者氏名（ふりがな）,【4ｰ1】  ★連絡先メールアドレス①,【4ｰ2】 連絡先メールアドレス②,【4‐3】  連絡先メールアドレス③,【5】連絡先電話番号,【6】配布物・請求書（協賛）等送付先住所,【7】  ★団体ホームページURL,【8】★活動内容（80～100文字）,【9】★主な活動場所（最大50文字）,【10】★主な活動日（最大50文字）,【11】★ 団体ができることや求めていること、まちカフェ！で実施する催しなどのPRを自由にご記載ください（掲載スペース50文字）,【12】  これまでにまちカフェ！実行委員会に参加したことがありますか？（冊子掲載のみも含む）,【13】  参加形態の意向を教えてください（複数選択可）。,【14】上記【13】で5．を選択した方、まちカフェ！にご協賛いただける口数をお知らせください　,【15】上記【13】で5．を選択した方、協賛金請求書の送付方法を選択してください。,【16】  他にもまちカフェ！にご協力いただける場合は、お知らせください,【17】まちカフェ！を通じて＜達成したいこと＞を教えてください（複数回答可）。,【19】その他ご意見、ご質問等があればお書きください。,【18】  参加予定の実行委員会会議をお知らせください。
まちだサポーターズとして東京国体、東京五輪、ペスカドーラ町田のボランティア等",町田市内,仕事ない日（最近は平日）がしやすい,,2回以上参加している,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 3．まちカフェ！おうえん隊（個人ボランティア）として全体企画の実施や運営支援をする",,,,"学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる",,
まちカフェ！ステーション,まちかふぇすてーしょん,,,,,,,https://stand.fm/channels/65b11815d47b01310544d294,音声配信アプリ stand.fm （通称スタエフ）でまちカフェ！に関する情報を発信しています。まちカフェ！実行委員会メンバーの広報ツールとしての音声配信を応援しています。,オンライン（ stand.fmアプリ、YouTube）、町田市内,毎週木曜日配信、毎月第一木曜日まちカフェ！オープンデーにてライブ配信,スマホひとつで手軽にできる音声配信を一緒に盛り上げてくれるサポーター大歓迎です。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる, 音声配信に挑戦する団体が増える",,
愛恵会乳児院　CoCoひろば,あいけいかいにゅうじいん　ここひろば,,,,,,,https://aikeikai-babyhome.org/,３歳未満の子どもと保護者が過ごす居場所「CoCoひろば」です。毎週火・木曜日の10:00～12:00に開催しています。木製の玩具やからだを動かして遊べるスペース、絵本コーナー、授乳室があります。時々イベントをやっています。,社会福祉法人　愛恵会乳児院　CoCoひろば,毎週火・木曜日、10:00～12:00です。,子育て広場CoCoひろば、赤ちゃんのショートステイ・ベビーCoCo、妊産婦等生活援助事業miraitoなど、愛恵会乳児院で行っている事業を市民の皆さんに広くお知らせしたいです。,2回以上参加している,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）",企業・団体１口,【4-1】連絡先メールアドレス宛てにメールに添付,チラシの配架,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",5/28（木）参加いたします。よろしくお願いいたします。,
個人E,おうえんたい,,,,,,,https://www.instagram.com/cabana_machida?igsh=MXc3c3QxcW9uc240Zw%3D%3D&utm_source=qr,育児中でもやりたいことを諦めないをコンセプトに、リフレ体験会や交流会を定期的に開催しています。,町田市内,不定期,親子でフリマ体験,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,司会、サロン開催時にチラシ配り,"メンバー同士のコミュケーションが深まる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
相原ガラスフュージング千の花,あいはらがらすふゅーじんぐせんのはな,,,,,,,,相原地区を中心に、イタリアガラスのモレッティガラスとミルフィオリのチップを組み合わせて焼成して、ガラスフュージング工芸作品を作る出張型講座を開催しています。,定例では相原中村公会堂にて、講座開催しています。,毎月第三木曜日10時より12時まで（1月と8月はお休みです。）,まちカフェ！では、作品の販売を行います。ガラスのキーホルダーやピアス、ペンダント、箸置き、壁飾りアートなど、キラキラしたガラスの透明感を手元に置いてみませんか？！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,ガラスフュージングの作品を提供します。,"行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
チーム本町田1582,ちーむほんまちだいちごうはちに,,,,,,,チーム本町田1582,"本町田は町田の中心、所の中心が宿。
歴史の生き証人、小川源兵衛屋敷の蔵からの古文書発掘　　
其の郷土史を記録に残すために、
平成30年本町田宿自治会で『郷土本町田・宿　その歴史をたどる』を編成
其の8年後、その郷土史を有効活用すべくこのチームが立ち上がった。",1．町田市周辺の神社仏閣、文化遺跡など　2．町田市第三小学校　3．夏祭り、例大祭,1．歴史ウォーキング　2．学校での歴史授業　3．本町田行進曲の披露,1．本町田の歴史と誕生遺跡の普及　2．本町田行進曲の普及,2回以上参加している,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）",個人1口,【6】  配布物・請求書（協賛）等送付先住所宛てに郵送,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる",,
古本等リサイクル委員会,ふるほんとうりさいくるいいんかい,,,,,,,,市民の皆さんから寄贈された古本をリユースしています。そこで得たカンパ金を、ＮＰＯ団体を通してアジアの子供たちへの図書や奨学金に役立ててもらう国際交流の活動を行っています。,町田市庁舎,不定期,,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,
NPO法人　氣の活用コム,きのかつようコム,,,,,,,kinokatsuyo.com  ,合氣道から‟投げ技”を除いて＜心・技・体＞の「ヤル氣の出し方」「心の鎮め方」「不動心・不動体」「成功したイメ－ジづくり」などを実技指導。氣で身体の中を洗う『氣の全身呼吸法』で、免疫力と自然治癒力を高める実技指導。,全国の寺院//町田市民文学館・大会議室//麻生区市民館//氣の活用コム研修所,不定期,"『生・老・病・死』のそれぞれの分野における‟氣の活用法”を実技指導して、
町田や日本各地を元氣にしたい。",2回以上参加している,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）","企業・団体3口以上（下記その他に口数をご記入ください）, 10口　￥50,000",【4-1】連絡先メールアドレス宛てにメールに添付,,"団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる",,
絲子〜ito.ko〜,いとこ,,,,,,,https://www.Instagram.com/itoko.craft.lv2/,本革を用いたレザークラフト、革小物作品を製作し、町田市内と近傍で開催されるイベントに出展しています。革小物を作るワークショップを行い、手作りの楽しさを伝えたいと考えています。,町田市内及び町田市近傍,不定期,まちカフェ！では簡単にできる革小物作りのワークショップを行います。手作りをお楽しみいただければと思います。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,来場者向けの景品提供できます,"新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",,
町田やさしい日本語の会,まちだやさしいにほんごのかい,,,,,,,,町田市に住む外国の方への情報伝達・コミュニケーションにやくだつわかりやすい日本語の普及をしています。,町田市民フォーラム,随時不定期,掲示などを通じて市民の方に「やさしい日本語」を知ってもらう活動をします。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,
色彩心理グリーンハートラボ,しきさいしんりぐりーんはーとらぼ,,,,,,,https://www.facebook.com/profile.php?id=100086465106683,「色は心のメッセージ」を合言葉に、「色と心のつながり」をお伝えしながら、色彩心理をメンタルケアに活用する色彩セラピー、ワークショップの開催、また、個人向けのカウンセリング等を行なっています。,緑山色彩心理研究室,毎月第4日曜日,"色彩心理に関する講義、ワークショップ、カウンセリング。まちカフェ！では色彩心理のぬりえのワークショップを実施。
",2回以上参加している,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）",個人1口,【6】  配布物・請求書（協賛）等送付先住所宛てに郵送,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
フラワーセラピー研究会町田チーム,ふらわーせらぴーけんきゅうかいまちだちーむ,,,,,,,"
インスタグラム　フラワーセラピー研究会町田チーム　特定非営利活動法人フラワーセラピー研究会
","不思議な力を持つ花（植物）をコミュニケーションツールに自由な作品作りを楽しむ
フラワーセラピー教室を高齢者施設、子育て支援、生涯学習の場で展開しています","フラワーセラピー活動：依頼先施設、イベント会場
定例会：町田市民フォーラム　",不定期,"フラワーセラピー教室　出前講座　ワークショップ・体験
他団体との連携・協働　",2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
いざ！鎌倉古道の会,いざ！かまくらこどうのかい,,,,,,,https://kamakurakodo.jimdofree.com/,「歴史街道のまち・まちだ」を合言葉に歩く健康スポーツとして幅広い年代層の皆様に気軽に参加できる活動として、ウォーキング・古道整備や歴史講演会を実施。「メルマガKodoh」を発信して広報活動を実施しています。,"①野津田公園南口の華厳院坂脇の古道整備  ②町田市内の古道ウォーク(年間数回)
③講演会(市民フォーラム)
",①古道整備、月一回。②運営委員会、月一回。③各種イベント開催。,多摩丘陵に遺る鎌倉街道(上ノ道)の魅力を解説パネルで説明いたします。,2回以上参加している,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）",企業・団体１口,【4-1】連絡先メールアドレス宛てにメールに添付,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる","今回から、当会特注の展示ボードの使用が出来なくなりました。
パネル掲示用のボードの貸与を希望いたします。",
きんじょの本棚,きんじょのほんだな,,,,,,,https://kinjonohondana.studio.site/,地域の店舗や個人宅などに小さな本棚を設置し、本を自由に借り返しできる仕組みを通じて、本と人、人とまちが出会う交流の場を、各地へ広げる活動を行っています。,自宅、お店、いろいろ,毎日,,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, メンバー同士のコミュケーションが深まる",,
NPO法人たがやす,たがやす,,,,,,,"https://npo-tagayasu.o.oo7.jp/
https://www.facebook.com/profile.php?id=61551748396625&ref=embed_page",町田市内で活動をしている、NPO法人たがやすです。都市農業を絶やしたくないと特に町田市内の農家さんと連携を取り、毎週火曜日軒先で新鮮な野菜販売をしております。みなさんで町田産の野菜をたくさん食べて応援しましょう。,"生活ｸﾗﾌﾞ館まちだ１階、
研修先：萬松寺、七国山ファーム、小野路農園クラブ","野菜販売（事務所）：毎週火曜日、
萬松寺研修(毎週土曜日)、七国山研修(毎週木、土曜)、小野路農園クラブ(毎週土、日)","町田市産の野菜、陶芸、染め物販売します。
町田市内での活動を知ってほしいです。",2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"メンバー同士のコミュケーションが深まる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）, イベント参加団体の活動が見れる",,
町田いぬねこ守り手ネットワーク,まちだいぬねこまもりてねっとわーく,,,,,,,"https://mamorite.net/
https://www.instagram.com/mamorite.network/",「飼い主のいない犬猫」ゼロをミッションとし、保護活動者支援・ペット防災啓発・譲渡促進・飼い主のもしもに備える講座・地域イベントへの参加などを行なっています。人と動物が安心して幸せに暮らせる社会を目指しています。,町田市内,不定期（土日祝中心・平日活動もあり/イベント開催時・定例ミーティング・保護活動対応など）,楽しみながら飼い主のいない犬猫支援！まちカフェ！では、「チャリティーグッズ販売＆ワークショップ」を予定しています。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
Lea Lea,れあ　れあ,,,,,,,,"健康運動指導士による、楽しく笑顔になれる、
脳も身体も喜ぶ、フィットネスの指導を行なっています。世代を超えてみんなで参加できる場作りを目指します。","つくし野コミュニティセンター　ホール
鶴川市民センター　など",不定期,"身体も頭も使って、笑いが溢れるスマイル体操をみなさんで楽しみましょう。
ブースを巡る足を止めて、思わず身体が動いてしまう心も身体も喜ぶ時間を提供します。
",初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,
公益社団法人町田市シルバー人材センター,まちだししるばーじんざいせんたー,,,,,,,https://webc.sjc.ne.jp/machida/,町田市シルバー人材センターは、町田市に居住する、60歳以上の、働く意欲を持った健康な方を構成員とし、一般家庭、事業所、官公庁等からの仕事を請け負い、会員の希望と能力に応じた仕事を提供することにより活力ある地域社会をつくりだすことを目的としています。,わくわくプラザ町田,土日祝日を除く8：30～17：00,実施する催しについては、現在調整委中です。,2回以上参加している,5．協賛団体・個人として参加（下記問14・15に回答ください）,企業・団体１口,【6】  配布物・請求書（協賛）等送付先住所宛てに郵送,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる",,
一般財団法人　町田市文化・国際交流財団　町田国際交流センター,まちだしぶんか・こくさいこうりゅうざいだん　まちだこくさいこうりゅうせんたー,,,,,,,https://www.machida-kokusai.jp/,ボランティアによる日本語教室、外国人相談、国際理解・協力や交流イベントの開催のほか、外国にルーツを持つ子どものための学習支援等を実施。日本人も外国人もともに助け合い協力できる街づくりを目指しています。,町田市民フォーラム4F　町田国際交流センター,毎週月曜日～土曜日　9時～17時,多文化共生に関心のあるボランティアを募集しています,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる",,
個人F,さつえいおうえんたい,,,,,,,Facebook.com/Saiji.Kuniyasu,「ふるさと魅力活力活性おうえん撮影配信」をキャッチフレーズに町田の季節の花・風景・イベントなどの撮影協力でJCI_Machidaをはじめ各団体に協力を継続中です,市内各所,四季の花の季節およびイベント開催日,今年はとくに動きのある写真を撮りたいと想いを馳せています,2回以上参加している,"2．協働ガイドブック掲載のみで参加（まちカフェ！期間中のイベント実施なし）, 3．まちカフェ！おうえん隊（個人ボランティア）として全体企画の実施や運営支援をする, 4．ワンデイおうえん隊（１日から数日の個人ボランティアとして参加）※登録した方には、実行委員会やボランティア募集のメールをお送りするのでご都合ご関心にあわせてご参加ください）",,,,"広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる",都度質問させていただきます、よろしくお願いします。,"1. 準備会：5月28日（木）18:30～20:30｜市庁舎3階会議室, 2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
社会福祉法人　悠々会,しゃかいふくしほうじん　ゆうゆうかい,,,,,,,https://www.yuyuen.com/,地域の高齢者が安心して暮らせるよう、困りごとを解決する「生活支援おうえん隊」の企画・運営や、日頃のボランティア活動を行っています。見守り声かけや生活のお手伝いなど、地域全体で支え合う仕組みを作っています。,市内全域を対象にしております。本部は悠々会本部です。,平日8：30～17：30　祝日・土日休み,地域を支える仲間を募集中！新しくボランティア団体を立ち上げたい方の相談や、活動紹介を行います。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
個人G,おうえんたい,,,,,,,,ワンデイおうえん隊、当日のツアーガイド　など,町田市役所及び町田市内,週後半　木曜・金曜　午後　不定期,,2回以上参加している,"3．まちカフェ！おうえん隊（個人ボランティア）として全体企画の実施や運営支援をする, 4．ワンデイおうえん隊（１日から数日の個人ボランティアとして参加）※登録した方には、実行委員会やボランティア募集のメールをお送りするのでご都合ご関心にあわせてご参加ください）",,,,"学生と活動する, 広報、企画立案、SNS・ITツールのスキルアップ, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",今年も、ワンデイも前日・当日も協力します。　よろしくお願いします。,"1. 準備会：5月28日（木）18:30～20:30｜市庁舎3階会議室, 2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
まちいろドロップス,まちいろどろっぷす,,,,,,,まちいろドロップスInstagram：https://x.gd/HpiP6,"町田でどんな人も気軽に参加のできる対話の場作りをしています。
（哲学対話・こどもや親子の対話・デスカフェ・トーキングサークルなど）
▶対話の場の企画や進行役など、お仕事のご相談・ご依頼も気軽にどうぞ。",東急リバブル町田センター／SUGAFEなど,毎月不定期開催（平日or土日）／インスタで情報発信しています,フラットに対話できる場作りが得意です！毎年定例の地域活動をテーマにした対話会を今年も開催予定です。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, 新しい取り組みに挑戦する, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
癒心地（いごこち）ライフサポーター,いごこちらいふさぽーたー,,,,,,,https://elaineelaineelaine.com/,音声配信SNSやオンラインセッションを通じて、算命学で生年月日から生まれ持った才能を読み解き、心身ともに健やかに人生と向き合えるようサポートしています。,音声配信アプリstand.fm、公式LINE、オンラインセッション,ほぼ毎日（ライフワークです）,オンラインセッションにて、生年月日から導く生まれ持った才能のタネ「トイロキャラ」を読み解きます。,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）","個人3口以上（下記その他に口数をご記入ください）, 5口　",【4-1】連絡先メールアドレス宛てにメールに添付,,"新しい取り組みに挑戦する, まちカフェ！のオンラインを盛り上げる",事務局兼務なので、ご迷惑のかからない形で、セッションスケジュールを組みたいと思っています。サポートオフィスの出展があれば、チラシ置かせてください。会場マップにも載らない、オンライン企画をどう盛り上げていくか、実験したいと思います。,"1. 準備会：5月28日（木）18:30～20:30｜市庁舎3階会議室, 2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
清住平Wind Music,きよすみだい ういんどみゅーじっく,,,,,,,"【Instagram】
Instagram.com/kiyosumidai_wind_music
【YouTube】
youtube.com/@kiyosumidai.windmusic","小山田のご近所さんで結成されたバンドです。昔、杵柄を取ってきた人もいれば、バンドに入ってから頑張っているメンバーも！
音楽で小山田を盛り上げる♫OYAMADA JOYFUL FESTIVAL主催",社会福祉法人みずき福祉会 町田福祉園 体育館,日曜日 10時～16時(月2回程度),吹奏楽が練習できる会場を探しています！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,行政や他団体・個人などと新しいつながりができる,,"1. 準備会：5月28日（木）18:30～20:30｜市庁舎3階会議室, 2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
プティハーモニー児童合唱団,ぷてぃはーもにーじどうがっしょうだん,,,,,,,https://www.instagram.com/petit.harmony_chorus?igsh=MWF0aW42ZjVvd3hlcA%3D%3D&utm_source=qr,"2025年3月に発足しました。
町田市金森で活動しているプティハーモニー児童合唱団です。
歌う機会、学ぶ機会の少なくなってしまっている、日本の名曲を中心に合唱曲やジブリソングなどを楽しく学んでいます。
指導は、複数の合唱団の指揮をしていらっしゃる柴山陽子先生です。
ピアニスト兼代表は、町田でピアノ教室を主宰、多数の合唱団や声楽の伴奏者としても活動しております稲葉千恵が務めております。

歌う喜び、ハモる面白さ、幅広い年齢層の子供同士の繋がりを感じながら楽しく活動しております。",町田市金森　かわせみ会館,月2回　土曜日/10:00-11:30.,"童謡や合唱曲をたくさん学んでいるので、子供たちの歌声を幅広い年齢の方に楽しんでいただきたいです。
よろしくお願いいたします。",初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる","ピアノがある場所で演奏させていただきたく存じます。
