【1】  ★団体名（ 法人格がある場合は、省略せず正式名称を記載してください）,【2】  団体名のふりがな（法人格を除く法人名のふりがなをご記入ください）,【3】  連絡担当者氏名（ふりがな）,【4ｰ1】  ★連絡先メールアドレス①,【4ｰ2】 連絡先メールアドレス②,【4‐3】  連絡先メールアドレス③,【5】連絡先電話番号,【6】配布物・請求書（協賛）等送付先住所,【7】  ★団体ホームページURL,【8】★活動内容（80～100文字）,【9】★主な活動場所（最大50文字）,【10】★主な活動日（最大50文字）,【11】★ 団体ができることや求めていること、まちカフェ！で実施する催しなどのPRを自由にご記載ください（掲載スペース50文字）,【12】  これまでにまちカフェ！実行委員会に参加したことがありますか？（冊子掲載のみも含む）,【13】  参加形態の意向を教えてください（複数選択可）。,【14】上記【13】で5．を選択した方、まちカフェ！にご協賛いただける口数をお知らせください　,【15】上記【13】で5．を選択した方、協賛金請求書の送付方法を選択してください。,【16】  他にもまちカフェ！にご協力いただける場合は、お知らせください,【17】まちカフェ！を通じて＜達成したいこと＞を教えてください（複数回答可）。,【19】その他ご意見、ご質問等があればお書きください。,【18】  参加予定の実行委員会会議をお知らせください。
よろしくお願いいたします。",
Colorful Life,からふるらいふ,,,,,,,https://www.instagram.com/yomogi_colorful.life_?utm_source=qr,自宅でおかま直伝よもぎ蒸し®とおかま直伝®からだほぐしをやっています。,自宅,月、火、水、木、土曜日 10:00～17:00,京都のおかまママが伝えるよもぎ蒸しとからだほぐしを自宅でやっています。疲れたからだを芯までじんわり温まり、その後じっくりほぐしていきます。,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,5．協賛団体・個人として参加（下記問14・15に回答ください）,個人1口,【4-1】連絡先メールアドレス宛てにメールに添付,チラシ配り,"会員やメンバーなどが増える, 行政や他団体・個人などと新しいつながりができる",,
狂言講座＆表現の芽をはぐくむ会,きょうげんこうざあんどひょうげんのめをはぐくむかい,,,,,,,"①狂言講座note https://note.com/kyogen_kouza 
②表現の芽をはぐくむ会HPhttps://hagukumukai.amebaownd.com/","①古典芸能・狂言の普及活動「狂言講座」：豊富な体験コーナーで狂言の魅力を楽しく体感できる全員参加型の講座②「表現の芽をはぐくむ会」：狂言と演劇を通して""自分自身を表す""演劇表現広場。絵画教室もあり",つくし野コミュニティセンター第二会議室,不定期,演劇表現や絵画を実際に体験することで演劇がグッと身近に！楽しく自己表現をしてみませんか？,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
ディーキャリア町田オフィス,でぃーきゃりあまちだおふぃす,,,,,,,https://dd-career.com/office_data/machida/,発達障害のある方の「働く」をサポートする就労移行支援事業所では、日々の訓練内容やオフィスの強みなどをご紹介。訓練生が地域の皆さまとの交流の場をご用意してお待ちしております！,ディーキャリア町田オフィス（MFビル3階）,月～金曜日の10時～16時,発達障害のある方の「働く」をサポートする就労移行支援事業所では、訓練内容やオフィス強みなどをご紹介！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",事業所の訓練生と一緒に単発ではありますが、チラシ折りや袋詰めなどの軽作業があればお手伝いさせていただける機会があればと思っております。よろしくお願いいたします。,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室"
多文化クラブDANRO,たぶんかくらぶだんろ,,,,,,,"https://www.facebook.com/share/1B9qeXsP5b/?mibextid=wwXIfr

https://danroccc.jimdofree.com/","町田市を中心に地域の多文化共生の実現を目指し、互いの違いを理解し合って友達になれるような、あたたかな場を作る活動をしています。
だんろを囲んで、思いやりを。
だんろで語って、悦びを。
だんろで笑って、安心を！！
Let’s be friends!!",鶴川図書コミュニティ施設つるぼん、つるっこ、レマーニ,"親子クラブ: 第3火曜日10時30分ー13時
日本語クラブ: 日曜日（不定期）13時30分ー15時
コミュニケーションクラブ: 日曜日（不定期）16時ー17時","（様々なバックグランドを持つみなさんが自分の文化や経験などを地域コミュニティで活かせるように応援、協働し、自分らしく安心して過ごせる町田を目指しています。）
まちカフェではアフリカ布Shweshwe の手作り小物、パラグアイの刺繍作品の販売、バングラデシュの温かちチャイの販売をします。そして今年はオーストラリア人パパのパフォーマンスも楽しんでください。",2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,
オンラインサポーターまちだ,おんらいんさぽーたーまちだ,,,,,,,https://share.google/BrMG6mJs8xSgvvmAB,シニアが住み慣れた街で、自分らしく心豊かに暮らし続けるため、スマホなどの使い方サポートを行い、無理のない緩やかな多世代共生社会を目指します。,木曽、成瀬等,第3水曜日、不定期,サポーターさん募集中！まちカフェでは、スマホ相談所開設、クイズもあります！景品もあるので遊びに来てね〜！！,2回以上参加している,"1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）, 5．協賛団体・個人として参加（下記問14・15に回答ください）",企業・団体１口,【4-1】連絡先メールアドレス宛てにメールに添付,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
町田ファーマーズ,まちだふぁーまーず,,,,,,,なし,町田市研修農場のOBの集まりです。毎週土曜日にみんなで集まって小野寺で野菜を作っています。一緒に野菜を作ってみたい人も募集しています。ぜひ遊びに来てください。,町田市小野寺,毎週土曜日、午前中,,2回以上参加している,2．協働ガイドブック掲載のみで参加（まちカフェ！期間中のイベント実施なし）,,,,"会員やメンバーなどが増える, 学生と活動する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
町田市Ｄ51型蒸気機関車保存会,まちだしでごいちがたじょうききかんしゃほぞんかい,,,,,,,,町田市で1972年から保存されている蒸気機関車D51 862の清掃と見学者の案内と修復を行い、5月と10月に鉄道に親しむイベントを催しています。,子ども発達支援センター(旧すみれ会館)隣、D51展示場,毎週日曜日10時～12時,鉄道用品や鉄道模型展示の出張イベントが出来ます。蒸気機関車の保存に関心のある会員を募集しています。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
町田市印刷工業組合,まちだしいんさつこうぎょうくみあい,,,,,,,https://www.machida-pia.net/,町田市で印刷会社を営む仲間たちの団体です。情報共有をしながら、大好きな町田のために日々仕事をしています。毎年まちカフェ！では、印刷工程で出る端紙をメモ帳にして販売しています。,協英印刷工業株式会社　事務所内,不定期,,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
まちだポールウォーキングクラブ,まちだぽーるうぉーきんぐくらぶ,,,,,,,https://machidapolewelk.com,運動不足の方、足腰に不安を感じる方、もっと体力をつけたい方、ポールを持って青空の下を一緒に歩きましょう。健康寿命を延ばすクラブです。,市内の公園や近隣の名所旧跡などを歩きます。,毎週土曜日午前中,ポールの持ち方、歩き方の体験を行います。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,"4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
町田子どもクラフトまつり,まちだこどもくらふとまつり,,,,,,,https://www.instagram.com/machinowacb?igsh=ZmRjdzB6b2Y2NHJ0,2021年のコロナ禍で、町田の子ども達にたくさん手を動かして貰おうとスタートした、ワンコインで参加出来る子ども向けワークショップの主宰団体です。町田シバヒロや中町のCOMMUNE BASE マチノワを会場に年に一回ペースで開催しています。,町田シバヒロ、COMMUNE BASE マチノワ,年に一回開催,子どもクラフトまつりをそのまま、まちカフェで開催します。,初参加（参加に際し、事務局と30分程度の簡単な顔合わせをお願いしています。オンライン・対面どちらでも大丈夫です。お申込み後、詳細を事務局よりご連絡させていただきます）,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
like minds,ライクマインズ,,,,,,,https://www.facebook.com/share/18zC1m3m1A/,オープンダイアローグや当事者研究など、対話を通して人と環境に変化をもたらします。,特にありません。,不定期,,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
草木染めを楽しむ会,くさきぞめをたのしむかい,,,,,,,,四季折々の草、木、花を煮出して、絹、麻、木綿、化繊等の布地に染め上げます。藍（インディゴ）を育てたり、紅花を育てたり、桜の枝、金木犀の枝葉、山茶花の花、天然の恵みの美しさにうっとり見せ合っています。,会員の自宅の庭や台所など持ち回り,不定期,自然の色の優しさを見ていただき、色彩からの癒しや、ご自身の身体や心を引き立てる効果を体験できます。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,未定ですが、景品になりそうなものができたら持参します。,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",第20回なので、「20は二重丸」ということで、来てくださった人を「◎」ポーズでお出迎えします。,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
ECOまちダッシュ,えこまちだっしゅ,,,,,,,https://blueshipjapan.com/crew/ecomachidash/,「ECOまちダッシュ！」は、東京都町田市を中心に活動している学生環境ボランティア団体です。町田駅周辺での定期的なゴミ拾いや、環境保全・循環型社会をテーマにしたワークショップ（子供向け工作など）を企画・実施し、地域の美化と環境意識の向上を目指しています。,町田駅周辺,毎週土曜日朝７−9時,メンバー集め、他団体との交流,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
NPO法人　クローバーの会,くろーばーのかい,,,,,,,https://npo-clover-club.jimdofree.com/,"ハンディのある方の社会的自立と就労継続支援を目的に活動しています。
（１）リサイクル品の販売（福祉バザー）（２）自主製品の製作と販売（３）ポスティング",町田市本町田２５０７－４町田木曽住宅ハー１６ー１０３　クローバーの会事業所,月曜日～金曜日8:30～17:30　月に数回土・日曜日8:30～17:30（HPを確認してください）,リサイクル着物で作った、布草履・エコバッグやクリスマスグッズなどの季節物の手作り品を販売予定です。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"会員やメンバーなどが増える, 新しい取り組みに挑戦する, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
手話べり場S,しゅわべりばえす,,,,,,,公開していません,手話は覚えても使わないと忘れます。手話が公用語になることを目標に「手話を練習する場所」を定期的にスタバなどで開催しています。サークルではないので自由です。,スターバックス（町田パリオ店、東急west店）、わくわくプラザ,第1.2.3.5土曜日、第4木曜日,楽しい手話ゲーム、簡単な日常で使える手話のご紹介などを企画中です。みんなが手話で話せたら最高！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,探してみます,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",すぐ忘れる高齢者です。初参加のようにお願いしますｗ,"1. 準備会：5月28日（木）18:30～20:30｜市庁舎3階会議室, 2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
『くじら山』の緑を考える会,くじらやまのみどりをかんがえるかい,,,,,,,https://kujirayama.web.fc2.com/,「本町田くじら山湧き水公園」における清掃や湧水施設の維持管理、自然環境の普及啓発を継続実施。また、身近に湧水がある自然豊かな“ふるさと町田”を認識してもらえるように「町田市湧水マップ」を作成。,本町田くじら山湧き水公園,原則、毎月第3土曜の午前中 10時～11時頃（夏季6～9月は9時～10時頃）,湧水など身近な自然を再発見！　　ぜひ本町田くじら山湧き水公園に来てください。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,まちカフェ！チラシの当会HP掲載、掲示板への掲出,"会員やメンバーなどが増える, 学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
町田で部活,まちだでぶかつ,,,,,,,https://machida-bu.com/public/,地域活動がまとまったサイトになっています。サイトから地域活動が探せたり、お知らせやイベント情報を閲覧することができます。地域活動を行なっている人も自分たちの活動を紹介できますので、掲載のご相談ください。,オンライン,不定期,掲載団体募集中！あなたの活動を載せさせてください！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,個人1口,【4-1】連絡先メールアドレス宛てにメールに添付,町田で部活のサイトで、まちカフェ！の特設ページにて宣伝します。,"広報、企画立案、SNS・ITツールのスキルアップ, 行政や他団体・個人などと新しいつながりができる",,2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室
町田ボランティア連絡協議会,まちだぼらんてぃあれんらくきょうぎかい,,,,,,,,町田市内のボランティア活動団体および個人会員が月1回会合をもち、お互いの活動をシェアしたり、協力要請をし合ったりしています。,月1回の会合は町田市民フォーラム4階講習室、加盟団体はそれぞれの場所で活動,"月1回の会合は、毎月第２月曜日14:30〜
16:00",当団体の略称「町田ボラ連協」をみなさんに知っていただき、ご一緒しませんか、とPRしたいので、今回もオカリナ演奏をします。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,まちカフェちらしの配布。,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる, メンバー同士のコミュケーションが深まる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
町田市ユニカール協会,マチダシユニカールキョウカイ,,,,,,,,"陸のカーリングユニカールで心、体、脳の健康づくりで元気アップ町田！を目指してます。　障がい児者、お子さん、高齢者にもできるように指導できます。
町田に元気な交流盛んな誰も取り残さない健康と福祉を！",野津田公園GIONスタジアム、小野路公園、薬師台第二清風園,①火曜日14:00〜16:00、②、③土日9:00〜11:00,健康づくり、仲間づくり、やりがいづくりをあきらめないで！,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"学生と活動する, 団体の活動や取り組む社会課題についての周知ができる, 広報、企画立案、SNS・ITツールのスキルアップ, 行政や他団体・個人などと新しいつながりができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
株式会社Chill Life,就労移行支援事業所・就労定着支援事業所ハンドシェイク,,,,,,,https://hands-shake.com/,①生産活動、職場体験等の活動の機会を提供、その他の就労に必要な知識及び能力の向上のために必要な訓練。②求職活動支援。③その適正に応じた職場開拓。④職場定着のために必要な相談等の支援。,町田市原町田3-8-12　網倉ビル3F,毎週月曜～金曜 10時～15時30分 土曜不定期開所,ワークショップ,2回以上参加している,5．協賛団体・個人として参加（下記問14・15に回答ください）,企業・団体１口,【6】  配布物・請求書（協賛）等送付先住所宛てに郵送,,"会員やメンバーなどが増える, メンバー同士のコミュケーションが深まる, 団体の活動資金を得る（物販の売り上げやイベントの参加費など）",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
子育てひろばぶらんこ町田,こそだてひろばぶらんこまちだ,,,,,,,"https://tokyo.seikatsuclub.coop/activity/care/raise/burankomachida.html
https://www.instagram.com/branco.machida?igsh=MXR1NHI3YTBob2ZnZw==","子育て広場ぶらんこは、地域の子育て仲間と出会える場、さまざまな世代の人たちと支えあって子育てしていける子育て広場をめざしています。
ひとりで悩まずに、子育てで心配なことや困りごとはスタッフに気軽に声をかけてくださいね。",生活クラブ館1階　ぶらんこ町田,"　平日　月～金曜日の10:00～15:00
　月1回　土曜日",私たちの活動の周知と仲間募集。同じ志を持つ仲間との交流。,2回以上参加している,2．協働ガイドブック掲載のみで参加（まちカフェ！期間中のイベント実施なし）,,,,"会員やメンバーなどが増える, 団体の活動や取り組む社会課題についての周知ができる",,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室"
ELXS株式会社,えれっくすかぶしきがいしゃ,,,,,,,elxsllc.com,再生可能エネルギー関連・太陽光・蓄電池販売・設置事業,東京都、神奈川県,不定期,,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,"企業・団体3口以上（下記その他に口数をご記入ください）, 去年度と同様",【4-1】連絡先メールアドレス宛てにメールに添付,,広報、企画立案、SNS・ITツールのスキルアップ,,"2. <必須>第１回全体会議：6月18日（木）18:30～20:30 ｜市庁舎3階会議室, 3. <交流>第２回全体会議：9月18日（金）18:30～20:30 ｜市庁舎3階会議室, 4. <広報物配布・交流>第３回全体会議：10月15日（木）18:30～20:30｜市庁舎3階会議室, 5. <市庁舎出店団体必須参加>第４回全体会議：11月19日（木）18:30～20:30 ｜市庁舎3階会議室, 6.<交流> アワード表彰式＆交流会：2027年1月15日（金）18:30～20:00｜市庁舎2階市民協働おうえんルーム"
はたつく研究所,はたつくけんきゅうじょ,,,,,,,https://www.hatatsuku.com/,「ここちよく暮らし、はたらく」をテーマに座談会やワークショップを開催しています。“暮らす”と“はたらく”がつながる自分らしい生き方について、一緒に考えてみませんか？,町田駅周辺,平日昼間／隔月,「ライフキャリアの棚卸し」や「モヤモヤの整理」など。出張講座やコラボ開催も可能です。,2回以上参加している,1．期間中にイベント等を開催（詳しい企画の内容は後日イベント企画書をご提出いただきます。市役所会場以外で開催する方もこちらをご選択ください。）,,,,"団体の活動や取り組む社会課題についての周知ができる, 行政や他団体・個人などと新しいつながりができる",,
みんなの居場所ぬくぬく,みんなのいばしょぬくぬく,,,,,,,https://www.nukunuku-machida.com/,町田市の一軒家の一階スペースでみんなの食堂をフリースペースを運営しています。虐待後遺症や生きづらさを抱える大人・若者・子どもの居場所です。,住み開きしている1階スペース：町田市上小山田町,12時～17時/不定期（平日1日/月）：フリースペース、12時～17時/不定期（土日祝のどれか1日/月）：みんなの食堂,"まちカフェを盛り上げるため来場者に情報を届ける「まちカフェ情報ギルド」をします♪
